verdict,slug,errM,test,subject,relation,direction,anchorKind,anchorName,negated,hedged,surfaces,quote,text
"not-refuted","savoline-boulevard-milton","-3230","T1 town","street","town-compass","west","town","Milton","false","false","hero ld-place sec:about","runs through Milton's western edge","Savoline Boulevard runs through Milton's western edge, where the Scott, Walker, and Harrison neighbourhoods meet."
"not-checkable","savoline-boulevard-milton","","","","other-position","none","neighbourhood","Scott, Walker, and Harrison","false","false","hero ld-place sec:about","where the Scott, Walker, and Harrison neighbourhoods meet","Savoline Boulevard runs through Milton's western edge, where the Scott, Walker, and Harrison neighbourhoods meet."
"not-refuted","savoline-boulevard-milton","-3230","T1 town","street","town-compass","west","town","Milton","false","true","sec:about","laid out in the pattern typical of Milton's newer west-end subdivisions","It is a residential street of detached and semi-detached houses, laid out in the pattern typical of Milton's newer west-end subdivisions."
"not-refuted","stark-circle-milton","-2051","T1 town","polygon:Beaty","town-compass","north","town","Milton","false","false","hero ld-place sec:about","a residential pocket in the town's north end","Stark Circle is a quiet loop in Milton's Beaty neighbourhood, a residential pocket in the town's north end."
"not-checkable","magurn-gate-milton","","","","anchor-compass","west","commercial-corridor","the commercial spine","false","false","hero ld-place sec:about","sits west of the commercial spine","Magurn Gate is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"WRONG","magurn-gate-milton","1954","T1 downtown","polygon:Harrison","anchor-compass","north","downtown","the older grid","false","false","hero ld-place sec:about","north of the older grid","Magurn Gate is a short residential street in Milton's Harrison area, a pocket of the town that sits west of the commercial spine and north of the older grid."
"not-checkable","livingston-road-milton","","","","anchor-compass","south","escarpment","the escarpment","false","false","hero ld-place sec:about","sits south of the escarpment","Livingston Road is a residential road in Milton's Dempsey neighbourhood, a pocket of the town that sits south of the escarpment and west of the older core."
"MISPLACED","livingston-road-milton","419","T1 downtown","polygon:Dempsey","anchor-compass","west","downtown","the older core","false","false","hero ld-place sec:about","west of the older core","Livingston Road is a residential road in Milton's Dempsey neighbourhood, a pocket of the town that sits south of the escarpment and west of the older core."
"not-refuted","day-terrace-milton","-2330","T1 town","polygon:Ford","town-compass","west","town","Milton","false","false","hero ld-place sec:about","a pocket of west Milton","Day Terrace is a short residential street in Milton's Ford neighbourhood, a pocket of west Milton that sits between the town's older core and the newer subdivisions pushing toward the escarpment."
"not-checkable","day-terrace-milton","","","","other-position","none","downtown","the town's older core and the newer subdivisions pushing toward the escarpment","false","false","hero ld-place sec:about","sits between the town's older core and the newer subdivisions pushing toward the escarpment","Day Terrace is a short residential street in Milton's Ford neighbourhood, a pocket of west Milton that sits between the town's older core and the newer subdivisions pushing toward the escarpment."
"MISPLACED","rose-way-milton","-724","T1 town","street","town-compass","west","town","Milton","false","true","sec:about","reads as a street inside the town's newer western fabric","For a household measuring a move against the rest of Milton, Rose Way reads as a street inside the town's newer western fabric rather than at its edge."
"negated-not-judged","rose-way-milton","","","","edge-of-town","none","town","Milton","true","true","sec:about","rather than at its edge","For a household measuring a move against the rest of Milton, Rose Way reads as a street inside the town's newer western fabric rather than at its edge."
"not-refuted","cochrane-terrace-milton","299","T1 town","polygon:Willmott","town-compass","north","town","Milton","false","false","sec:about","Willmott itself sits in the northern reaches of Milton","Willmott itself sits in the northern reaches of Milton, where mature trees line many of the roads and the grid gives way to winding crescents and closes."
"not-checkable","williams-avenue-milton","","","","proximity","none","downtown","Milton's central amenities","false","false","sec:about","within easy reach of Milton's central amenities","Its position places residents within easy reach of Milton's central amenities while maintaining a distinctly local atmosphere."
"not-refuted","periwinkle-place-milton","-3783","T1 town","polygon:Walker","town-compass","west","town","Milton","false","false","hero ld-place","a pocket of the town's western corridor","Periwinkle Place is a short residential street in Milton's Walker neighbourhood, a pocket of the town's western corridor where the street grid gives way to quieter residential turns."
